workclass,education,marital_status,occupation,capital_gain,capital_loss,hours_per_week
Private,Some-college,Never-married,Sales,0,0,45
Private,Masters,Married-civ-spouse,Exec-managerial,15024,0,40
Private,HS-grad,Separated,Farming-fishing,0,0,40
Private,HS-grad,Married-civ-spouse,Exec-managerial,0,0,45
Private,11th,Never-married,Other-service,0,0,40
Private,HS-grad,Never-married,Other-service,0,0,30
Private,HS-grad,Married-civ-spouse,Tech-support,0,0,89
Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0,0,35
Federal-gov,HS-grad,Never-married,Adm-clerical,0,0,40
Private,Bachelors,Divorced,Exec-managerial,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,52
Private,Some-college,Married-civ-spouse,Craft-repair,0,0,40
Private,Bachelors,Married-civ-spouse,Craft-repair,0,0,44
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,0,0,25
Private,HS-grad,Married-civ-spouse,Sales,0,0,48
Private,Some-college,Never-married,Other-service,0,0,40
Private,Some-college,Widowed,Prof-specialty,0,0,4
Self-emp-inc,Some-college,Never-married,Exec-managerial,2202,0,45
Private,Some-college,Never-married,Craft-repair,0,0,40
Private,HS-grad,Widowed,Machine-op-inspct,0,0,16
Private,HS-grad,Never-married,Prof-specialty,0,0,28
Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,0,0,40
Private,Masters,Divorced,Sales,0,0,28
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,Doctorate,Married-civ-spouse,Prof-specialty,7298,0,40
Private,Some-college,Never-married,Exec-managerial,0,0,24
Private,Some-college,Married-civ-spouse,Other-service,0,0,60
Private,Bachelors,Never-married,Prof-specialty,0,0,70
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,0,0,50
Private,11th,Divorced,Handlers-cleaners,0,0,40
Local-gov,HS-grad,Married-civ-spouse,Transport-moving,0,0,40
Local-gov,Assoc-voc,Never-married,Craft-repair,0,0,44
Private,Some-college,Married-civ-spouse,Craft-repair,0,0,45
State-gov,HS-grad,Divorced,Adm-clerical,0,1617,40
Private,Some-college,Never-married,Prof-specialty,0,0,45
Private,7th-8th,Married-civ-spouse,Transport-moving,2407,0,50
Private,HS-grad,Married-civ-spouse,Transport-moving,0,0,40
Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,0,0,50
Local-gov,HS-grad,Married-civ-spouse,Protective-serv,0,0,40
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0,0,21
Private,Some-college,Never-married,Transport-moving,0,0,30
Private,HS-grad,Married-spouse-absent,Other-service,0,0,40
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,0,0,40
Private,Bachelors,Never-married,Prof-specialty,0,0,20
Private,Some-college,Married-civ-spouse,Sales,7298,0,45
Private,Assoc-voc,Never-married,Exec-managerial,0,0,40
Private,9th,Divorced,Craft-repair,0,0,40
Private,12th,Never-married,Adm-clerical,0,0,40
Private,HS-grad,Divorced,Machine-op-inspct,0,0,40
Private,HS-grad,Married-civ-spouse,Prof-specialty,0,0,30
Private,Bachelors,Never-married,Exec-managerial,0,0,40
Private,HS-grad,Never-married,Prof-specialty,0,0,30
Private,HS-grad,Divorced,Prof-specialty,0,0,40
Local-gov,12th,Never-married,Protective-serv,0,0,40
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,0,0,40
Private,Bachelors,Married-civ-spouse,Exec-managerial,0,0,40
Private,Bachelors,Never-married,Exec-managerial,0,2258,45
Self-emp-not-inc,Some-college,Divorced,Sales,0,0,48
Private,HS-grad,Never-married,Craft-repair,0,0,40
Local-gov,Masters,Never-married,Prof-specialty,0,0,40
Private,HS-grad,Never-married,Other-service,0,0,45
Private,Assoc-acdm,Never-married,Other-service,0,0,40
Private,Masters,Never-married,Adm-clerical,0,0,50
Private,HS-grad,Never-married,Handlers-cleaners,0,0,40
Private,Masters,Married-civ-spouse,Sales,0,0,40
Private,Some-college,Never-married,Exec-managerial,0,0,40
Private,HS-grad,Divorced,Other-service,0,0,38
Private,Assoc-voc,Never-married,Machine-op-inspct,0,0,40
Private,Prof-school,Married-civ-spouse,Prof-specialty,0,1628,70
Private,HS-grad,Never-married,Craft-repair,0,1408,50
Private,HS-grad,Never-married,Machine-op-inspct,0,0,40
Private,HS-grad,Never-married,Prof-specialty,0,0,24
Self-emp-not-inc,HS-grad,Widowed,Other-service,0,0,25
Private,Some-college,Never-married,Exec-managerial,0,0,30
State-gov,HS-grad,Never-married,Adm-clerical,0,0,16
Self-emp-not-inc,Some-college,Never-married,Sales,0,0,55
Private,HS-grad,Married-civ-spouse,Adm-clerical,0,0,40
Private,HS-grad,Never-married,Craft-repair,0,0,25
Private,Prof-school,Married-civ-spouse,Adm-clerical,0,0,40
Local-gov,HS-grad,Divorced,Transport-moving,0,0,40
Self-emp-not-inc,5th-6th,Married-civ-spouse,Craft-repair,0,0,40
Private,Bachelors,Never-married,Tech-support,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,5178,0,40
Private,HS-grad,Never-married,Adm-clerical,0,0,40
Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,0,0,20
Private,11th,Married-civ-spouse,Prof-specialty,0,0,40
Private,HS-grad,Married-civ-spouse,Transport-moving,0,0,40
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,0,0,40
Private,Some-college,Married-civ-spouse,Sales,0,0,8
Local-gov,Some-college,Married-civ-spouse,Protective-serv,15024,0,56
Private,HS-grad,Separated,Adm-clerical,0,0,40
Private,Some-college,Divorced,Craft-repair,0,0,40
Private,7th-8th,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Divorced,Craft-repair,0,0,40
Local-gov,Masters,Separated,Prof-specialty,0,0,40
Private,HS-grad,Widowed,Prof-specialty,0,4356,40
Private,HS-grad,Divorced,Machine-op-inspct,0,0,40
Private,HS-grad,Married-civ-spouse,Transport-moving,0,0,40
Local-gov,Some-college,Never-married,Adm-clerical,0,0,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,0,0,45
Private,HS-grad,Never-married,Adm-clerical,0,0,40
Private,Assoc-acdm,Divorced,Exec-managerial,0,0,40
Private,11th,Married-civ-spouse,Other-service,0,0,30
Private,Some-college,Married-civ-spouse,Machine-op-inspct,0,0,40
Private,10th,Married-civ-spouse,Farming-fishing,0,0,70
Private,HS-grad,Divorced,Prof-specialty,4650,0,40
Private,Some-college,Never-married,Sales,0,0,40
Private,HS-grad,Separated,Prof-specialty,0,0,20
Private,HS-grad,Married-civ-spouse,Other-service,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Never-married,Machine-op-inspct,0,0,40
Private,Some-college,Married-civ-spouse,Adm-clerical,0,0,30
Private,10th,Widowed,Transport-moving,114,0,40
Private,Bachelors,Married-civ-spouse,Adm-clerical,0,0,60
Private,5th-6th,Married-civ-spouse,Handlers-cleaners,0,0,40
Private,HS-grad,Never-married,Machine-op-inspct,0,0,40
Private,Some-college,Divorced,Other-service,0,0,24
State-gov,Bachelors,Never-married,Prof-specialty,0,0,40
Private,Preschool,Widowed,Prof-specialty,0,0,20
Private,Assoc-voc,Married-civ-spouse,Craft-repair,0,0,40
Private,7th-8th,Married-civ-spouse,Other-service,0,0,25
State-gov,HS-grad,Widowed,Adm-clerical,0,0,40
Private,Bachelors,Married-civ-spouse,Exec-managerial,99999,0,50
Private,Bachelors,Never-married,Prof-specialty,0,0,40
Private,10th,Married-civ-spouse,Prof-specialty,1173,0,40
Local-gov,Masters,Married-civ-spouse,Prof-specialty,0,0,40
Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,0,0,40
Private,Prof-school,Never-married,Prof-specialty,0,0,45
Federal-gov,Masters,Never-married,Prof-specialty,0,0,40
Private,Masters,Married-civ-spouse,Exec-managerial,0,0,65
Private,HS-grad,Married-civ-spouse,Exec-managerial,0,0,60
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,0,0,50
Private,Assoc-acdm,Divorced,Other-service,0,0,40
Private,HS-grad,Never-married,Sales,0,1602,30
Private,Some-college,Married-civ-spouse,Exec-managerial,0,1539,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,0,0,70
Private,Some-college,Never-married,Other-service,0,0,30
Private,Some-college,Never-married,Craft-repair,0,0,80
Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,0,0,45
Private,Bachelors,Married-civ-spouse,Exec-managerial,0,1977,50
Private,Bachelors,Never-married,Tech-support,0,0,45
Private,Bachelors,Never-married,Craft-repair,0,0,40
Private,5th-6th,Married-civ-spouse,Transport-moving,0,0,40
Private,HS-grad,Married-civ-spouse,Prof-specialty,0,0,40
Self-emp-inc,HS-grad,Never-married,Craft-repair,0,0,44
Local-gov,Bachelors,Divorced,Prof-specialty,0,0,48
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,50
Private,Some-college,Never-married,Other-service,0,0,30
Private,5th-6th,Never-married,Machine-op-inspct,0,0,45
Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,7298,0,40
State-gov,Masters,Divorced,Prof-specialty,0,0,20
Private,Some-college,Married-civ-spouse,Craft-repair,2407,0,40
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,Some-college,Divorced,Other-service,0,0,24
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,Some-college,Divorced,Exec-managerial,0,0,50
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,45
Private,11th,Never-married,Prof-specialty,0,0,25
Self-emp-not-inc,Some-college,Never-married,Exec-managerial,0,0,45
Private,11th,Never-married,Sales,0,0,30
Private,Some-college,Never-married,Other-service,0,0,20
Private,Assoc-acdm,Divorced,Craft-repair,0,2444,70
Private,HS-grad,Never-married,Sales,0,0,40
Private,HS-grad,Divorced,Machine-op-inspct,0,0,56
Self-emp-inc,HS-grad,Married-civ-spouse,Sales,0,0,50
Private,Bachelors,Never-married,Adm-clerical,0,0,25
Private,Bachelors,Married-civ-spouse,Other-service,7688,0,38
Private,Some-college,Married-civ-spouse,Adm-clerical,0,0,38
Private,Bachelors,Married-civ-spouse,Farming-fishing,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Self-emp-inc,10th,Married-civ-spouse,Exec-managerial,0,0,40
Private,Bachelors,Married-civ-spouse,Prof-specialty,15024,0,70
Private,1st-4th,Married-civ-spouse,Machine-op-inspct,0,0,40
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,40
Private,Bachelors,Divorced,Prof-specialty,0,0,32
Private,HS-grad,Divorced,Other-service,0,3770,45
Local-gov,Masters,Never-married,Prof-specialty,0,0,52
Self-emp-not-inc,11th,Never-married,Adm-clerical,0,0,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,7298,0,40
Private,HS-grad,Married-civ-spouse,Farming-fishing,0,0,40
Local-gov,7th-8th,Married-civ-spouse,Craft-repair,2829,0,40
Private,Bachelors,Never-married,Handlers-cleaners,0,0,40
Local-gov,Some-college,Married-civ-spouse,Adm-clerical,0,0,55
Local-gov,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Married-civ-spouse,Sales,0,0,45
Private,Some-college,Married-civ-spouse,Machine-op-inspct,0,0,84
Private,1st-4th,Married-civ-spouse,Other-service,0,0,25
Private,Bachelors,Divorced,Sales,0,0,40
Private,HS-grad,Never-married,Handlers-cleaners,0,0,8
Private,HS-grad,Divorced,Other-service,0,0,38
Private,10th,Widowed,Machine-op-inspct,0,0,40
Private,Assoc-voc,Married-civ-spouse,Transport-moving,0,0,20
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,Some-college,Never-married,Craft-repair,0,0,40
Local-gov,Bachelors,Married-spouse-absent,Prof-specialty,0,0,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0,1977,65
Private,HS-grad,Never-married,Sales,0,0,50
Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,7688,0,40
Private,Some-college,Never-married,Prof-specialty,3325,0,50
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,0,2002,40
Private,Some-college,Never-married,Prof-specialty,0,0,24
Private,Some-college,Never-married,Other-service,0,0,36
State-gov,Masters,Separated,Prof-specialty,0,0,38
Private,Some-college,Never-married,Exec-managerial,4101,0,40
Self-emp-not-inc,11th,Separated,Other-service,0,0,30
Private,Assoc-voc,Never-married,Other-service,0,0,40
Private,Some-college,Married-civ-spouse,Craft-repair,0,0,40
Private,Bachelors,Never-married,Exec-managerial,0,0,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,0,1887,40
Local-gov,Some-college,Never-married,Protective-serv,0,0,40
State-gov,HS-grad,Never-married,Other-service,0,0,25
Private,Some-college,Married-civ-spouse,Sales,0,0,45
Private,11th,Never-married,Other-service,0,0,7
Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,0,0,50
Private,11th,Never-married,Sales,0,0,40
Private,10th,Never-married,Other-service,0,0,20
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,50
Private,Some-college,Married-civ-spouse,Machine-op-inspct,0,0,40
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,2635,0,10
Private,Bachelors,Never-married,Tech-support,0,0,60
Private,Some-college,Married-civ-spouse,Prof-specialty,0,1887,40
Local-gov,Masters,Married-civ-spouse,Prof-specialty,0,0,50
Private,Assoc-voc,Never-married,Adm-clerical,0,0,40
Private,Masters,Never-married,Prof-specialty,0,0,30
State-gov,Bachelors,Married-civ-spouse,Adm-clerical,0,0,40
Private,HS-grad,Married-civ-spouse,Exec-managerial,0,0,45
Private,Some-college,Never-married,Prof-specialty,0,0,20
State-gov,Some-college,Separated,Tech-support,0,0,40
Private,11th,Married-civ-spouse,Machine-op-inspct,0,0,60
Private,HS-grad,Married-civ-spouse,Prof-specialty,0,0,15
Private,9th,Never-married,Prof-specialty,0,0,40
Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,0,0,25
Private,11th,Never-married,Craft-repair,0,0,25
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,0,0,18
Local-gov,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Never-married,Sales,0,0,25
Private,Some-college,Never-married,Other-service,0,0,40
Private,HS-grad,Never-married,Craft-repair,0,0,40
Private,12th,Married-civ-spouse,Prof-specialty,0,0,24
Private,HS-grad,Never-married,Farming-fishing,0,0,40
Private,10th,Married-civ-spouse,Transport-moving,0,0,50
Private,5th-6th,Married-civ-spouse,Adm-clerical,0,0,40
Private,HS-grad,Never-married,Transport-moving,0,0,40
Private,Some-college,Never-married,Adm-clerical,594,0,20
Private,HS-grad,Married-civ-spouse,Prof-specialty,0,0,28
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,7688,0,40
Private,Bachelors,Married-civ-spouse,Handlers-cleaners,0,0,40
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0,0,40
Private,HS-grad,Married-civ-spouse,Other-service,0,0,50
Private,HS-grad,Divorced,Transport-moving,0,0,55
Private,HS-grad,Never-married,Craft-repair,0,0,40
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,0,0,45
Private,7th-8th,Married-civ-spouse,Transport-moving,0,0,40
Private,HS-grad,Never-married,Adm-clerical,0,0,40
Private,Assoc-voc,Never-married,Craft-repair,0,0,40
Private,Assoc-acdm,Divorced,Tech-support,0,0,36
Self-emp-not-inc,11th,Married-civ-spouse,Farming-fishing,0,0,50
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,50
Private,Some-college,Married-civ-spouse,Machine-op-inspct,2580,0,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0,0,40
Private,10th,Married-civ-spouse,Transport-moving,0,0,40
Private,HS-grad,Married-civ-spouse,Farming-fishing,0,0,40
State-gov,HS-grad,Divorced,Exec-managerial,0,0,38
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Local-gov,Masters,Separated,Prof-specialty,0,0,50
State-gov,Assoc-voc,Never-married,Tech-support,0,0,40
Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,0,0,60
Private,HS-grad,Never-married,Craft-repair,0,0,40
Private,Bachelors,Married-civ-spouse,Exec-managerial,0,1902,32
Private,HS-grad,Never-married,Other-service,0,0,40
Self-emp-not-inc,HS-grad,Divorced,Exec-managerial,3273,0,16
Private,Bachelors,Married-civ-spouse,Sales,0,0,25
Private,HS-grad,Never-married,Other-service,0,0,48
Private,Some-college,Never-married,Sales,0,0,65
Private,HS-grad,Divorced,Adm-clerical,0,0,40
Private,7th-8th,Widowed,Prof-specialty,0,0,20
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,4386,0,48
Private,HS-grad,Married-spouse-absent,Prof-specialty,0,0,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Never-married,Exec-managerial,0,0,40
Self-emp-not-inc,HS-grad,Divorced,Craft-repair,0,0,40
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,0,0,40
Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,0,2392,55
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0,1573,70
Self-emp-not-inc,HS-grad,Never-married,Craft-repair,0,0,40
Private,HS-grad,Never-married,Machine-op-inspct,0,0,48
Private,11th,Separated,Machine-op-inspct,0,0,40
Local-gov,Assoc-voc,Never-married,Protective-serv,0,0,40
Private,Some-college,Married-civ-spouse,Sales,0,0,40
Private,Masters,Married-civ-spouse,Prof-specialty,0,0,45
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0,0,84
Private,11th,Married-civ-spouse,Craft-repair,0,0,40
Private,Some-college,Widowed,Machine-op-inspct,0,0,48
Self-emp-not-inc,Assoc-voc,Widowed,Exec-managerial,0,0,30
Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,0,0,50
Private,5th-6th,Never-married,Handlers-cleaners,0,0,20
Private,Some-college,Divorced,Adm-clerical,4650,0,20
Federal-gov,Assoc-acdm,Divorced,Adm-clerical,0,0,40
Self-emp-inc,Bachelors,Never-married,Prof-specialty,0,0,40
Private,Bachelors,Married-civ-spouse,Prof-specialty,7298,0,8
Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,0,0,35
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0,0,40
Private,Some-college,Married-civ-spouse,Exec-managerial,15024,0,40
Private,Assoc-voc,Divorced,Machine-op-inspct,0,0,40
Private,HS-grad,Divorced,Other-service,0,0,9
Private,HS-grad,Never-married,Adm-clerical,0,0,40
Private,12th,Never-married,Prof-specialty,0,0,35
Private,Some-college,Married-civ-spouse,Exec-managerial,0,0,50
Private,Bachelors,Divorced,Exec-managerial,6849,0,60
Private,Bachelors,Married-civ-spouse,Craft-repair,0,0,50
Private,12th,Never-married,Transport-moving,0,0,46
Private,Assoc-voc,Never-married,Adm-clerical,0,0,40
Private,HS-grad,Never-married,Adm-clerical,0,0,40
Private,Bachelors,Married-civ-spouse,Exec-managerial,0,0,60
Private,HS-grad,Married-civ-spouse,Prof-specialty,0,0,8
Private,HS-grad,Never-married,Transport-moving,0,0,40
Private,HS-grad,Married-spouse-absent,Other-service,0,0,80
Private,HS-grad,Married-civ-spouse,Transport-moving,0,0,46
State-gov,Doctorate,Never-married,Prof-specialty,0,0,45
Self-emp-not-inc,7th-8th,Married-civ-spouse,Sales,0,0,40
Private,Some-college,Never-married,Prof-specialty,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,45
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Divorced,Craft-repair,0,0,50
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
State-gov,Some-college,Divorced,Sales,0,0,40
Private,Some-college,Never-married,Sales,0,0,20
Private,Bachelors,Never-married,Sales,0,0,40
Private,HS-grad,Never-married,Other-service,0,2206,40
Private,Some-college,Never-married,Adm-clerical,0,0,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,0,0,40
Local-gov,Bachelors,Never-married,Prof-specialty,0,0,37
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0,0,40
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,48
Private,Bachelors,Divorced,Exec-managerial,3325,0,40
Private,Bachelors,Never-married,Sales,0,0,20
Local-gov,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Never-married,Transport-moving,0,0,40
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0,0,60
Private,HS-grad,Married-civ-spouse,Other-service,0,0,40
Private,HS-grad,Never-married,Transport-moving,0,0,80
Private,HS-grad,Widowed,Adm-clerical,15831,0,40
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Sales,0,0,60
Private,HS-grad,Married-civ-spouse,Craft-repair,0,1902,40
Private,Some-college,Never-married,Other-service,0,0,16
Federal-gov,HS-grad,Divorced,Adm-clerical,0,0,40
Private,Some-college,Never-married,Prof-specialty,0,0,40
Private,11th,Never-married,Sales,0,0,45
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,0,0,40
Self-emp-inc,Some-college,Never-married,Transport-moving,0,0,40
Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,0,0,40
Private,HS-grad,Married-civ-spouse,Exec-managerial,0,0,55
Private,HS-grad,Divorced,Craft-repair,0,0,45
Private,11th,Married-civ-spouse,Craft-repair,0,0,40
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,0,0,65
Local-gov,HS-grad,Never-married,Transport-moving,0,0,40
Private,HS-grad,Divorced,Exec-managerial,0,0,50
Private,HS-grad,Married-civ-spouse,Exec-managerial,0,0,50
Private,HS-grad,Separated,Sales,0,0,35
Private,Bachelors,Married-civ-spouse,Transport-moving,0,0,40
Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,0,0,70
Private,Bachelors,Never-married,Prof-specialty,0,0,50
State-gov,HS-grad,Never-married,Craft-repair,0,0,40
Private,1st-4th,Never-married,Craft-repair,0,0,40
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0,1579,42
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,80
Private,Masters,Married-civ-spouse,Prof-specialty,15024,0,45
Private,9th,Never-married,Handlers-cleaners,594,0,40
Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,0,0,40
Local-gov,Masters,Married-civ-spouse,Prof-specialty,0,1977,35
Private,Bachelors,Married-civ-spouse,Prof-specialty,0,0,35
State-gov,HS-grad,Never-married,Adm-clerical,0,0,40
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0,0,50
Private,HS-grad,Never-married,Farming-fishing,0,0,30
Private,Some-college,Never-married,Adm-clerical,0,0,35
Private,HS-grad,Divorced,Handlers-cleaners,0,0,40
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,0,0,65
Private,Bachelors,Married-civ-spouse,Other-service,0,0,30
Private,Doctorate,Married-civ-spouse,Exec-managerial,0,0,60
Private,Bachelors,Widowed,Exec-managerial,0,0,55
Local-gov,Bachelors,Never-married,Prof-specialty,0,0,35
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,HS-grad,Never-married,Sales,0,0,35
Private,Prof-school,Married-civ-spouse,Prof-specialty,15024,0,20
Private,HS-grad,Married-civ-spouse,Craft-repair,0,0,40
Private,Bachelors,Married-civ-spouse,Adm-clerical,20051,0,50
Private,HS-grad,Married-civ-spouse,Adm-clerical,0,0,45
Private,Some-college,Never-married,Adm-clerical,0,0,40
Private,HS-grad,Married-civ-spouse,Sales,0,0,55
Private,Some-college,Divorced,Adm-clerical,0,0,55
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,0,0,40
Private,Prof-school,Married-civ-spouse,Prof-specialty,0,1977,50
Federal-gov,Bachelors,Never-married,Tech-support,0,0,8
Local-gov,HS-grad,Divorced,Exec-managerial,0,0,35
Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,0,0,40
Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,0,0,40
Private,Some-college,Married-civ-spouse,Protective-serv,0,0,70
Private,Some-college,Divorced,Adm-clerical,0,0,40
Private,Assoc-voc,Married-civ-spouse,Sales,0,0,40
Private,HS-grad,Married-civ-spouse,Sales,0,0,40
Private,HS-grad,Divorced,Transport-moving,0,0,90
